GEO_ID,NAME,DP05_0063E,DP05_0063M,DP05_0064E,DP05_0064M,DP05_0065E,DP05_0065M,DP05_0067E,DP05_0067M,DP05_0071E,DP05_0071M
Geography,Geographic Area Name,Total Population,Total Population – Error,White Population,White Population – Error,Black or African American Population,Black or African American Population – Error,Asian Population,Asian Population – Error,Hispanic Population,Hispanic Population – Error
1400000US48201522201,"Census Tract 5222.01, Harris County, Texas",4564,856,3243,763,0,14,142,120,3088,753
1400000US48201522202,"Census Tract 5222.02, Harris County, Texas",4057,806,1679,662,96,95,128,93,2726,553
1400000US48201522301,"Census Tract 5223.01, Harris County, Texas",3822,496,2001,476,136,122,197,99,2458,450
1400000US48201522302,"Census Tract 5223.02, Harris County, Texas",3517,574,1631,532,23,24,313,168,2247,429
1400000US48201522401,"Census Tract 5224.01, Harris County, Texas",5605,861,4013,772,463,238,340,207,2099,465
1400000US48201522402,"Census Tract 5224.02, Harris County, Texas",3828,403,3346,405,166,216,155,115,2389,462
1400000US48201522500,"Census Tract 5225, Harris County, Texas",5200,234,4707,253,52,45,588,149,855,347
1400000US48201530101,"Census Tract 5301.01, Harris County, Texas",3922,896,2173,777,450,240,99,108,2792,890
1400000US48201530102,"Census Tract 5301.02, Harris County, Texas",2913,1376,2129,1384,419,479,0,14,2096,1384
1400000US48201530200,"Census Tract 5302, Harris County, Texas",3715,788,3242,843,143,83,313,176,1337,786
1400000US48201530300,"Census Tract 5303, Harris County, Texas",2230,442,972,344,1148,326,70,94,693,344
1400000US48201530400,"Census Tract 5304, Harris County, Texas",2797,852,1146,571,1128,701,16,22,1619,533
1400000US48201530501,"Census Tract 5305.01, Harris County, Texas",1948,811,1477,842,297,179,4,6,1555,809
1400000US48201530502,"Census Tract 5305.02, Harris County, Texas",2657,505,1442,547,974,227,3,29,1616,516
1400000US48201530600,"Census Tract 5306, Harris County, Texas",3125,619,1645,540,982,446,119,99,1659,587
1400000US48201530701,"Census Tract 5307.01, Harris County, Texas",1513,382,1151,391,333,159,11,20,876,406
1400000US48201530702,"Census Tract 5307.02, Harris County, Texas",3909,809,2519,390,1221,736,0,14,2434,379
1400000US48201530800,"Census Tract 5308, Harris County, Texas",4265,717,1106,398,2597,525,1,2,1279,536
1400000US48201530900,"Census Tract 5309, Harris County, Texas",4024,581,3568,595,376,234,77,62,1368,483
1400000US48201531000,"Census Tract 5310, Harris County, Texas",4467,553,4186,544,211,168,262,163,1174,383
1400000US48201531100,"Census Tract 5311, Harris County, Texas",3509,689,3406,699,0,14,103,104,1177,620
1400000US48201531200,"Census Tract 5312, Harris County, Texas",3055,444,2676,422,297,200,136,108,1099,391
1400000US48201531300,"Census Tract 5313, Harris County, Texas",4900,915,3482,1033,733,328,0,14,2470,949
1400000US48201531400,"Census Tract 5314, Harris County, Texas",2147,293,1881,280,204,142,80,47,683,158
1400000US48201531500,"Census Tract 5315, Harris County, Texas",3039,393,2433,367,177,77,84,86,1542,406
1400000US48201531600,"Census Tract 5316, Harris County, Texas",2702,342,2484,351,111,67,53,41,723,170
1400000US48201531700,"Census Tract 5317, Harris County, Texas",3954,496,3447,536,110,112,474,183,837,371
1400000US48201531800,"Census Tract 5318, Harris County, Texas",2740,555,597,290,1857,493,81,68,861,378
1400000US48201531900,"Census Tract 5319, Harris County, Texas",5581,991,2177,583,3202,875,77,69,1993,601
1400000US48201532003,"Census Tract 5320.03, Harris County, Texas",4126,1461,2408,975,1499,1277,45,72,2271,880
1400000US48201532004,"Census Tract 5320.04, Harris County, Texas",4873,888,3631,830,1159,340,14,19,3035,812
1400000US48201532101,"Census Tract 5321.01, Harris County, Texas",4449,999,3418,988,581,332,113,74,2216,718
1400000US48201532102,"Census Tract 5321.02, Harris County, Texas",3220,989,1724,1149,953,382,0,14,2224,985
1400000US48201532200,"Census Tract 5322, Harris County, Texas",3847,646,2079,666,1311,602,46,78,2134,651
1400000US48201532301,"Census Tract 5323.01, Harris County, Texas",5009,1538,1864,932,2824,1558,90,84,2354,1069
1400000US48201532302,"Census Tract 5323.02, Harris County, Texas",3218,467,2307,587,447,210,232,194,1600,538
1400000US48201532400,"Census Tract 5324, Harris County, Texas",6075,1062,4477,1149,776,287,358,272,3378,966
1400000US48201532502,"Census Tract 5325.02, Harris County, Texas",5458,1155,4467,1197,190,148,149,163,4852,1175
1400000US48201532503,"Census Tract 5325.03, Harris County, Texas",5690,1164,3824,1068,349,199,1423,576,3152,1043
1400000US48201532504,"Census Tract 5325.04, Harris County, Texas",4667,954,2948,742,304,242,293,225,2983,982
1400000US48201532600,"Census Tract 5326, Harris County, Texas",7008,947,2509,769,2346,661,519,260,3916,750
1400000US48201532700,"Census Tract 5327, Harris County, Texas",5248,1004,2555,837,2154,636,40,60,2316,830
1400000US48201532800,"Census Tract 5328, Harris County, Texas",2030,474,1132,224,656,382,68,75,875,200
1400000US48201532900,"Census Tract 5329, Harris County, Texas",5271,1006,2568,983,1844,351,80,67,3162,971
1400000US48201533000,"Census Tract 5330, Harris County, Texas",2332,437,227,156,1965,431,61,85,420,188
1400000US48201533100,"Census Tract 5331, Harris County, Texas",6434,1060,1355,854,3519,943,157,164,2400,664
1400000US48201533200,"Census Tract 5332, Harris County, Texas",4184,827,1959,644,1711,554,183,189,2074,814
1400000US48201533301,"Census Tract 5333.01, Harris County, Texas",2796,1423,276,252,2388,1401,6,13,571,320
1400000US48201533302,"Census Tract 5333.02, Harris County, Texas",3730,1080,623,471,2732,1035,54,85,931,474
1400000US48201533401,"Census Tract 5334.01, Harris County, Texas",5211,628,2566,610,1551,583,213,273,3370,414
1400000US48201533402,"Census Tract 5334.02, Harris County, Texas",6397,1449,3698,1618,809,436,479,352,4716,1282
1400000US48201533500,"Census Tract 5335, Harris County, Texas",4371,578,2668,596,585,344,346,322,3285,548
1400000US48201533600,"Census Tract 5336, Harris County, Texas",5082,501,2947,486,1252,470,302,216,3465,455
1400000US48201533701,"Census Tract 5337.01, Harris County, Texas",6542,1699,4787,1701,647,241,75,88,5722,1693
1400000US48201533702,"Census Tract 5337.02, Harris County, Texas",3743,462,2387,519,408,226,73,77,3099,487
1400000US48201533802,"Census Tract 5338.02, Harris County, Texas",7467,825,4846,883,728,422,988,473,5191,843
1400000US48201533803,"Census Tract 5338.03, Harris County, Texas",7111,1573,3032,849,2037,1365,1128,563,3517,883
1400000US48201533804,"Census Tract 5338.04, Harris County, Texas",6954,1723,3762,1481,1654,1012,1198,1116,4047,1480
1400000US48201533902,"Census Tract 5339.02, Harris County, Texas",4275,759,2464,872,1253,361,76,85,2870,876
1400000US48201533903,"Census Tract 5339.03, Harris County, Texas",4246,543,1864,772,912,272,514,397,2392,426
1400000US48201533904,"Census Tract 5339.04, Harris County, Texas",4759,1125,2790,1064,1205,626,20,57,3147,1134
1400000US48201534001,"Census Tract 5340.01, Harris County, Texas",3509,717,2067,723,222,199,700,346,2195,713
1400000US48201534002,"Census Tract 5340.02, Harris County, Texas",5664,649,3161,785,653,388,342,210,3914,639
1400000US48201534003,"Census Tract 5340.03, Harris County, Texas",2638,443,1457,436,500,112,289,117,1572,279
1400000US48201534101,"Census Tract 5341.01, Harris County, Texas",3131,651,1324,559,324,249,1358,476,1140,556
1400000US48201534102,"Census Tract 5341.02, Harris County, Texas",4793,1008,2317,903,147,197,457,189,3943,1043
1400000US48201534201,"Census Tract 5342.01, Harris County, Texas",3665,760,1789,479,119,100,628,221,2625,759
1400000US48201534203,"Census Tract 5342.03, Harris County, Texas",2391,472,1854,455,26,42,179,95,1830,419
1400000US48201534204,"Census Tract 5342.04, Harris County, Texas",4473,526,2929,640,1070,446,587,333,1082,578
1400000US48201534205,"Census Tract 5342.05, Harris County, Texas",4317,317,2993,271,321,240,772,195,886,271
1400000US48201540101,"Census Tract 5401.01, Harris County, Texas",6072,924,4766,822,47,73,1395,421,912,376
1400000US48201540102,"Census Tract 5401.02, Harris County, Texas",5974,1709,2652,1115,951,864,1939,1393,2479,1133
1400000US48201540200,"Census Tract 5402, Harris County, Texas",2120,351,1366,272,391,283,140,84,1082,282
1400000US48201540502,"Census Tract 5405.02, Harris County, Texas",4415,491,2852,422,522,213,218,123,1583,370
1400000US48201540503,"Census Tract 5405.03, Harris County, Texas",4282,1683,1984,1434,715,853,0,14,3270,1618
1400000US48201540504,"Census Tract 5405.04, Harris County, Texas",3525,1079,1868,953,966,692,439,279,1855,932
1400000US48201540601,"Census Tract 5406.01, Harris County, Texas",4010,588,2400,402,397,154,730,285,1893,556
1400000US48201540602,"Census Tract 5406.02, Harris County, Texas",7439,2106,3894,1990,1466,400,919,329,4117,2109
1400000US48201540700,"Census Tract 5407, Harris County, Texas",5343,488,3424,736,404,269,668,314,2167,471
1400000US48201540800,"Census Tract 5408, Harris County, Texas",7209,1261,5156,1212,888,303,616,296,4722,1231
1400000US48201540901,"Census Tract 5409.01, Harris County, Texas",3043,566,2373,556,585,408,351,316,730,345
1400000US48201540903,"Census Tract 5409.03, Harris County, Texas",3741,1509,1363,656,1181,752,1355,1382,680,465
1400000US48201540904,"Census Tract 5409.04, Harris County, Texas",4685,737,2424,435,1292,742,545,271,1176,407
