GEO_ID,ID,NAME,STATE_NAME,ST_ABBREV,CNTY_NAME,REGION,Total_Pop,Total_Pop_Error,White_Only_Pop,White_Only_Pop_Error,White_Pop,White_Pop_Error,Black_or_African_American_Pop,Black_or_African_American_Pop_Error,Asian_Pop,Asian_Pop_Error,Hispanic_or_Latino_Pop,Hispanic_or_Latino_Pop_Error,PM25,OZONE,DSLPM,CANCER,RESP,RSEI_AIR,PTRAF,PRE1960,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS
1400000US25025010801,25025010801,"Census Tract 108.01, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,2731,352,2192,296,2359,316,208,146,228,85,200,129,7.23226383561644,58.4101,0.68780644,30.0,0.5,3802.51288994958,5609.075523467086,1701.0,0.878162106350025,0.083769132230392,0.476934929160714,50.24325704762255,1.330966325835784,0.010424367531863
1400000US25025010802,25025010802,"Census Tract 108.02, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,3295,408,2827,410,2913,403,9,14,299,110,265,151,7.23466301369863,58.30037,0.660419934,30.0,0.4,3936.5881474957487,3780.293888017005,1933.0,0.937439379243453,0.087554796882603,0.358813322940157,49.81399706087312,0.0,0.010354348870177
1400000US25025020101,25025020101,"Census Tract 201.01, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,4157,534,3809,549,3936,567,23,27,159,118,323,163,7.21684136986301,58.52927,0.701865537,30.0,0.4,3668.9508370559615,6449.739905650295,2897.0,0.949524745984923,0.079642756810626,0.569776565986541,52.01285102872255,5.508997751698229,0.008419691440614
1400000US25025020200,25025020200,"Census Tract 202, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,3203,393,2848,388,2915,393,89,62,202,109,134,105,7.21263890410959,58.50129,0.701527612,30.0,0.4,3664.051576844901,4651.736414475025,2213.0,0.902160619649408,0.077970297848843,0.560274877737119,58.646598991577285,7.396669085853049,0.007942871468191
1400000US25025020301,25025020301,"Census Tract 203.01, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,2296,473,1552,339,1825,414,50,63,385,124,387,333,7.19677424657534,58.5181,0.701894683,30.0,0.4,3629.869747,5407.183797,49.0,0.034950071326676,0.075456929,0.550781163,52.92841281,4.641961173,0.057721691
1400000US25025020302,25025020302,"Census Tract 203.02, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,946,113,812,130,846,122,0,13,100,63,85,47,7.20837479452055,58.62283,0.706763485,30.0,0.4,3544.858405,2248.592345,567.0,0.908653846153846,0.077410264,0.571307311,61.31054015,6.230638809,0.006565587
1400000US25025020304,25025020304,"Census Tract 203.04, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,1254,260,950,208,1025,208,97,120,98,73,185,131,7.18897643835616,58.59033,0.705575097,30.0,0.4,3498.408465919727,12256.652983909236,26.0,0.026156941649899,0.073824531253935,0.575798655687828,52.62617815875132,4.6025354604617,0.015590732578699
1400000US25025020305,25025020305,"Census Tract 203.05, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,3823,569,2582,453,2830,559,399,123,615,362,311,83,7.18897643835616,58.59033,0.705575097,30.0,0.4,3571.126494205615,5954.981627458848,47.0,0.021029082774049,0.074382780919901,0.563320440395816,49.103290827319015,7.402377946375447,0.038131823058904
1400000US25025030100,25025030100,"Census Tract 301, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,2110,463,1929,457,1939,456,0,13,51,49,345,224,7.1861597260274,58.69844,0.695793584,30.0,0.4,3472.5831830936177,3407.8117528893617,1071.0,0.79628252788104,0.072125297540426,0.592292357995745,39.469876037234044,1.856008668676596,0.012463407506383
1400000US25025030200,25025030200,"Census Tract 302, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,1681,355,1414,405,1495,407,54,46,141,102,127,72,7.18704657534247,58.65105,0.712917834,30.0,0.4,3498.4088229090903,7354.680389818181,716.0,0.67931688804554,0.073362708909091,0.581838377181818,45.42248393272728,2.334327666727273,0.010990320636364
1400000US25025030301,25025030301,"Census Tract 303.01, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,1546,405,1399,396,1435,400,45,74,57,58,62,67,7.18907534246575,58.72236,0.717896051,30.0,0.4,3393.8197989848377,8697.750228261371,161.0,0.158620689655172,0.075601136384116,0.578002617288087,37.554416674144406,1.855982335591336,0.003802263573285
1400000US25025030302,25025030302,"Census Tract 303.02, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,2399,457,1672,395,1799,430,292,133,308,160,153,81,7.18907534246575,58.72236,0.717896051,30.0,0.4,3479.512605,5517.46558,462.0,0.361785434612372,0.077068685,0.580706625,49.95813569,4.096857306,0.00531908
1400000US25025030400,25025030400,"Census Tract 304, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,3851,510,3490,443,3505,446,256,252,43,42,156,82,7.18241452054794,58.74504,0.70778983,30.0,0.4,3412.0822570389423,5754.205209969231,2145.0,0.790637670475488,0.073270037150962,0.583775282060337,43.47113220570192,0.853749623794231,0.00709040069399
1400000US25025030500,25025030500,"Census Tract 305, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,2258,310,2030,275,2052,276,20,22,195,115,79,49,7.17888082191781,58.75766,0.696842494,30.0,0.4,3375.785602762063,2051.253492843094,1140.0,0.71383844708829,0.07172319021989,0.596184763976427,43.39244517153591,0.455348504235359,0.006775273243462
1400000US25025040100,25025040100,"Census Tract 401, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,2499,364,2069,253,2340,324,77,113,260,203,82,59,7.18046739726027,58.63634,0.672032981,30.0,0.4,3511.0544685474574,3860.6428524796606,801.0,0.64963503649635,0.0693922163,0.623852496967797,33.49992340522034,5.31744814361017,0.007631234825424
1400000US25025040200,25025040200,"Census Tract 402, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,1865,273,1094,220,1274,208,606,286,49,48,417,199,7.1741597260274,58.71099,0.612990947,30.0,0.4,3435.99881453074,1148.808152238394,592.0,0.776902887139107,0.069439275114178,0.564105811022585,31.084447086524474,6.505596948398996,0.016698914877039
1400000US25025040300,25025040300,"Census Tract 403, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,4855,553,3856,446,4044,477,529,370,435,256,240,174,7.1732797260274,58.54475,0.606383278,30.0,0.4,3562.790020692155,1025.0113680886627,1903.0,0.847661469933184,0.071251569120221,0.474548507889945,30.530995414925968,1.999234565036464,0.024324459273591
1400000US25025040401,25025040401,"Census Tract 404.01, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,2966,402,2257,425,2370,420,217,145,454,233,228,151,7.18633616438356,58.56294,0.650900708,30.0,0.4,3576.528847872006,4961.755927341204,727.0,0.538119911176905,0.070918270345996,0.475000351183436,33.29789018981519,4.67013461654449,0.014595618776523
1400000US25025040600,25025040600,"Census Tract 406, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,3749,380,3086,332,3239,340,190,169,339,208,157,87,7.17972767123288,58.50982,0.579754525,30.0,0.4,3634.347887543036,3375.1224210008145,859.0,0.485859728506787,0.074212127873201,0.408193579748846,30.345873105481942,3.964172403588651,0.034624905349715
1400000US25025040801,25025040801,"Census Tract 408.01, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,4477,610,2756,519,2901,519,423,249,1045,392,738,461,7.16090465753425,58.81697,0.609208396,30.0,0.4,3415.550091108028,573.2997215649158,1203.0,0.50716694772344,0.06916526130005,0.622233412327552,31.174720006503964,8.223650987292864,0.020262494234143
1400000US25025050101,25025050101,"Census Tract 501.01, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,5612,893,2931,669,4717,960,1195,739,279,199,3575,928,7.13932136986301,59.05875,0.498506392,30.0,0.4,3303.106002522269,317.6027049679683,1555.0,0.774402390438247,0.067627946801708,0.823815282110026,21.91035891504169,6.772326070063658,0.407966328341672
1400000US25025050200,25025050200,"Census Tract 502, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,5487,950,2374,653,4564,951,1568,669,329,232,3332,853,7.13668356164384,59.11786,0.514530567,30.0,0.4,3262.9110206192036,1191.788895564095,1490.0,0.783385909568874,0.065874179603425,0.617105028453146,22.96602275609775,5.009319766693476,0.223171413844333
1400000US25025050300,25025050300,"Census Tract 503, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,3279,479,1979,377,2526,438,367,212,511,221,1372,378,7.15755424657534,58.98468,0.655191096,30.0,0.4,3312.2087787262126,1466.9750358788217,451.0,0.25,0.067674611903008,0.631151513930939,28.10235507820135,1.461049009429711,0.084295763896869
1400000US25025050400,25025050400,"Census Tract 504, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,2304,423,1576,435,1895,417,153,105,97,69,1042,372,7.15010164383562,59.06133,0.65512069,30.0,0.4,3260.619999999999,763.6871588097806,810.0,0.791788856304985,0.06818075981914,0.59955457230059,26.60039761300169,3.685282973681281,0.076377872495363
1400000US25025050500,25025050500,"Census Tract 505, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,2294,323,1141,371,1739,319,475,229,149,66,1376,313,7.10785671232877,59.55809,0.529625894,30.0,0.4,3243.439457,1608.230257,871.0,0.799082568807339,0.066559619,0.482013264,23.05103235,13.45577221,0.107498208
1400000US25025050600,25025050600,"Census Tract 506, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,2507,548,1431,348,2282,582,542,358,8,12,1704,572,7.14951123287671,59.05539,0.605389625,30.0,0.4,3244.485199683703,2895.4395853519763,646.0,0.747685185185185,0.066455821131148,0.511409499684667,25.42589571541948,0.740612569092575,0.120623532669238
1400000US25025050700,25025050700,"Census Tract 507, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,4964,822,1985,482,4251,970,1385,656,248,253,3592,825,7.13595808219178,59.12867,0.536966762,30.0,0.4,3242.659921146903,2285.2328745526547,1378.0,0.791044776119403,0.064873088285398,0.526508821382301,22.15476367111505,7.141159835151107,0.170699906836283
1400000US25025050901,25025050901,"Census Tract 509.01, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,4471,823,2310,529,4156,860,839,503,75,72,3224,880,7.12238493150685,59.31214,0.467022835,30.0,0.4,3250.1117449776048,1237.9580250898632,1424.0,0.924075275794938,0.065932997683168,0.629168546906176,19.65617623774399,6.220959448988213,0.423361240821311
1400000US25025051000,25025051000,"Census Tract 510, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,4999,755,2643,467,3902,714,961,375,288,178,2387,771,7.0872002739726,59.43957,0.419119516,30.0,0.4,3319.5700027926805,1009.4447737099374,1453.0,0.72001982160555,0.064520815310864,0.420729625480426,12.9408299768404,2.446756312002317,0.318347995637016
1400000US25025051101,25025051101,"Census Tract 511.01, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,6502,1010,4388,902,5667,1013,1198,496,244,171,2916,693,7.06060164383562,59.77461,0.404342909,30.0,0.4,3249.4144970229104,562.1921958091347,2048.0,0.759080800593031,0.063672564673529,0.316972897264396,11.545859571894736,2.79335967551579,0.165619446985913
1400000US25025051200,25025051200,"Census Tract 512, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,3078,401,2206,341,2800,416,300,186,268,191,727,319,7.15195068493151,59.11117,0.576962898,30.0,0.4,3211.487929443544,628.787220044007,1061.0,0.634949132256134,0.068453168745223,0.56275884928315,26.69605712477417,6.893773074898668,0.063955982408512
1400000US25025060101,25025060101,"Census Tract 601.01, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,3577,506,3431,502,3511,509,61,41,43,41,28,42,7.17030794520548,59.10009,0.533449826,30.0,0.3,3319.783649828478,243.8357577347128,1059.0,0.585406301824212,0.082928060067247,0.319888363048734,14.114642422371356,8.413242322711408,0.001115512269534
1400000US25025060200,25025060200,"Census Tract 602, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,1944,314,1853,325,1865,321,67,53,16,19,68,34,7.18242465753425,58.98548,0.513949499,30.0,0.3,3296.8565801546392,327.3785666974227,750.0,0.728862973760933,0.085947977572165,0.366444668469072,15.313856769278347,7.884339592649484,0.001118482005155
1400000US25025060301,25025060301,"Census Tract 603.01, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,3851,677,3678,675,3750,672,15,18,85,62,114,67,7.19204301369863,58.90541,0.513952338,30.0,0.3,3729.242018307564,358.6630291598504,1393.0,0.798738532110091,0.087145492945137,0.417327392852037,17.438855370598503,5.359414635133001,0.001174928136326
1400000US25025060400,25025060400,"Census Tract 604, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,4906,807,4788,788,4892,805,4,8,14,22,147,167,7.20818739726027,58.83573,0.516077854,30.0,0.3,3552.3394399085664,488.694883645024,1593.0,0.624460995687965,0.089994672303946,0.523383655367469,20.66599379490472,2.311547740852165,0.001240353083349
1400000US25025060501,25025060501,"Census Tract 605.01, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,4138,644,3288,562,3490,589,122,104,542,273,272,166,7.19486465753425,58.93446,0.568478881,30.0,0.3,3814.256022041623,475.74105184141126,1277.0,0.571364653243847,0.085544433530742,0.444777104188253,22.900676914155927,7.958638303340377,0.001308405390027
